CYCLE,PK_RANDOM,Match,WGT,FK_EPA_RAN,NEST1_WT,EPA_OVERSAMPLE,EPA_DIVISION,C3_RESOURCE_TYPE,C1_RESOURCE_TYPE,C3_REPORTING_UNIT,C1_REPORTING_UNIT,GROUP_NAME,RANDOM_LAT,LAT_DD,LAT_MM,LAT_SS,LAT_DEC,RANDOM_LONG,LONG_DD,LONG_MM,LONG_SS,LONG_DEC,HYDROLOGIC_CODE,HYDROLOGIC_NAME,CAN_BE_SAM,EXCLUSION_CATEGORY,EXCLUSION_CRITERIA,SAMPLED_DATE,HECTARES,ANALYSIS_S,LOCATIONAL_DATUM,FK_PROJECT,DO_REGION,NNC_REGION,DO_CRIT,TN_NNC,TP_NNC,CHLA_NNC,Sample.Id,Station.No,Station.Name,Collect.Date,Sample.Type,Matrix,Water.Temperature,Water Temperature_VQ,Turbidity,Turbidity_VQ,Transparency..Secchi.Depth,Transparency (Secchi Depth)_VQ,Color..true,Color (true)_VQ,Specific.Conductance..Field,Specific Conductance  Field_VQ,Specific.Conductance,Specific Conductance_VQ,Oxygen..Dissolved..Field,Oxygen  Dissolved  Field_VQ,pH..Field,pH  Field_VQ,Alkalinity..Total..as.CaCO3,Alkalinity  Total (as CaCO3)_VQ,Total.Suspended.Solids..TSS,Total Suspended Solids (TSS)_VQ,Ammonia..Total..as.N,Ammonia  Total (as N)_VQ,Kjeldahl.Nitrogen..Total..as.N,Kjeldahl Nitrogen  Total  (as N)_VQ,Nitrate.Nitrite..Total..as.N,Nitrate+Nitrite  Total (as N)_VQ,Phosphorus..Total..as.P,Phosphorus  Total (as P)_VQ,Organic.Carbon..Total,Organic Carbon  Total_VQ,Calcium..Total,Calcium  Total_VQ,Magnesium..Total,Magnesium  Total_VQ,Sodium..Total,Sodium  Total_VQ,Potassium..Total,Potassium  Total_VQ,Chloride..Total,Chloride  Total_VQ,Sulfate..Total,Sulfate  Total_VQ,Fluoride..Total,Fluoride  Total_VQ,Coliform..Fecal..MF,Coliform  Fecal (MF)_VQ,Chlorophyll.A..Monochromatic,Chlorophyll-A (Monochromatic)_VQ,Pheophytin.A..Monochromatic,Pheophytin-A (Monochromatic)_VQ,Total.Dissolved.Solids..TDS.measured,Total Dissolved Solids (TDS measured)_VQ,Depth..Bottom.of.Waterbody..Sample.Site,Depth  Bottom of Waterbody  Sample Site_VQ,Sample.Depth,Sample Depth_VQ
1,NWA-HS-1018,,1,,1,,,SMALL STREAM,HIGH-ORDER STREAM,ZONE 1,NWFWMD-A,Ochlockonee - St. Marks,303157,30,31,57,30.5325,843117,84,31,17,-84.52138889,3120003,OCHLOCKONEE RIVER,Y,,,8/29/2000,,,NAD27,,Panhandle,Panhandle East,67,1.03,0.18,20,NWHS0008-15,8631,NWA-HS-1018,8/29/2000 10:30,PRIMARY,WATER,25,,3.6,,0.3,,80,,60,,73,,1.4,,6.6,,26,,5,,0.098,,0.47,,0.005,I,0.092,,5.6,A,7.9,,2,,3.1,,0.59,,4.9,,0.83,,0.1,U,10,Q,14,,0,,58,,0.3,,0.15,
1,NWA-HS-1023,,1,,1,,,SMALL STREAM,HIGH-ORDER STREAM,ZONE 1,NWFWMD-A,Ochlockonee - St. Marks,302810,30,28,10,30.46944444,843511,84,35,11,-84.58638889,3120003,OCHLOCKONEE RIVER,Y,,,8/31/2000,,,NAD27,,Panhandle,Panhandle East,67,1.03,0.18,20,NWHS0008-16,8632,NWA-HS-1023,8/31/2000 15:09,PRIMARY,WATER,28.6,,12,,0.25,,120,,23,,27,,3.31,,6.53,,4,,28,,0.035,,0.81,,0.008,I,0.29,J,9.7,I,2.6,,0.56,,1.6,,0.22,,2.8,,1.1,,0.1,U,500,Q,1,U,1,U,36,I,0.25,,0.13,
1,NWA-HS-1024,,1,,1,,,SMALL STREAM,HIGH-ORDER STREAM,ZONE 1,NWFWMD-A,Ochlockonee - St. Marks,302023,30,20,23,30.33972222,844247,84,42,47,-84.71305556,3120003,OCHLOCKONEE RIVER,Y,,,8/21/2000,,,NAD27,,Panhandle,Panhandle East,67,1.03,0.18,20,NWHS0008-17,8633,NWA-HS-1024,8/21/2000 16:20,PRIMARY,WATER,27.53,,2.4,,0.3,,150,,114.5,,120,,2.76,,6.44,,50,A,4,U,0.078,,0.78,,0.013,,0.048,,17,,25.4,,1.1,,3,,0.3,,4.6,,3.3,,0.1,U,156,Q,1,U,1,U,108,,0.3,,0.15,
1,NWA-HS-1025,,1,,1,,,SMALL STREAM,HIGH-ORDER STREAM,ZONE 1,NWFWMD-A,Ochlockonee - St. Marks,302403,30,24,3,30.40083333,841758,84,17,58,-84.29944444,3120001,ST MARKS RIVER,Y,,,8/29/2000,,,NAD27,,Big Bend,Panhandle East,34,1.03,0.18,20,NWHS0008-18,8634,NWA-HS-1025,8/29/2000 12:00,PRIMARY,WATER,28.84,,4.2,,0.7,,60,,110.8,,120,,2.52,,6.73,,51,A,5,,0.088,,0.75,,0.011,J,0.13,,8.9,,14.3,,3.9,,1.6,,1.8,,2.9,,3.1,,0.2,,60,,4.4,,0,,80,,1.5,,0.5,
1,NWA-HS-1027,,1,,1,,,SMALL STREAM,HIGH-ORDER STREAM,ZONE 1,NWFWMD-A,Ochlockonee - St. Marks,303448,30,34,48,30.58,842244,84,22,44,-84.37888889,3120003,OCHLOCKONEE RIVER,Y,,,9/12/2000,,,NAD27,,Panhandle,Panhandle East,67,1.03,0.18,20,NWHS0008-19,8635,NWA-HS-1027,9/12/2000 11:00,PRIMARY,WATER,22.3,,2.6,Q,0.2,,100,Q,163,,180,,6.36,,6.99,,53,J,4,U,0.068,A,0.56,,0.058,J,0.23,,12,A,19.2,,4.9,,5.5,,1.4,,9.4,,7.6,,0.14,,560,Q,1,U,1,U,121,J,0.2,,0.1,
1,NWA-HS-1028,,1,,1,,,LARGE RIVER,HIGH-ORDER STREAM,ZONE 1,NWFWMD-A,Ochlockonee - St. Marks,302942,30,29,42,30.495,842406,84,24,6,-84.40166667,3120003,OCHLOCKONEE RIVER,Y,,,8/15/2000,,,NAD27,,Panhandle,Panhandle East,67,1.03,0.18,20,NWHS0008-20,8636,NWA-HS-1028,8/15/2000 16:30,PRIMARY,WATER,30.6,,2.4,,1.5,,50,,282,,280,,6.37,,7.62,,42,,4,U,0.018,I,0.54,,0.38,,0.14,,6.8,,14.4,,5.9,,23.8,,6.6,,40,,19,,0.25,,10,Q,7.4,,0,,133,,3.42,,0.5,
1,NWA-HS-1029,,1,,1,,,SMALL STREAM,HIGH-ORDER STREAM,ZONE 1,NWFWMD-A,Ochlockonee - St. Marks,303435,30,34,35,30.57638889,842236,84,22,36,-84.37666667,3120003,OCHLOCKONEE RIVER,Y,,,9/14/2000,,,NAD27,,Panhandle,Panhandle East,67,1.03,0.18,20,NWHS0008-22,8637,NWA-HS-1029,9/14/2000 11:40,PRIMARY,WATER,24.73,,6.9,,0.6,,100,,88.9,,94,,2.9,,6.38,,16,,6,I,0.052,J,0.74,,0.28,J,0.13,,16,,6.6,,2.6,,4.7,,3.1,,7.9,,11,,0.1,U,110,AQ,1,U,1,U,60,,0.7,,0.35,
1,NWA-HS-1030,,1,,1,,,SMALL STREAM,HIGH-ORDER STREAM,ZONE 1,NWFWMD-A,Ochlockonee - St. Marks,302228,30,22,28,30.37444444,844931,84,49,31,-84.82527778,3120003,OCHLOCKONEE RIVER,Y,,,8/21/2000,,,NAD27,,Panhandle,Panhandle East,67,1.03,0.18,20,NWHS0008-23,8638,NWA-HS-1030,8/21/2000 11:15,PRIMARY,WATER,24.65,,1.3,,0.5,,60,,23.5,,31,,6.67,,6.1,,5,,4,U,0.022,,0.31,,0.12,,0.043,,3.5,I,2.8,,0.66,,1.7,,0.44,,2.9,,1.9,,0.1,U,190,Q,1,U,1,U,37,,0.5,,0.25,
1,NWA-HS-1032,,1,,1,,,SMALL STREAM,HIGH-ORDER STREAM,ZONE 1,NWFWMD-A,Ochlockonee - St. Marks,303709,30,37,9,30.61916667,840326,84,3,26,-84.05722222,3120001,ST MARKS RIVER,Y,,,8/23/2000,,,NAD27,,Big Bend,Panhandle East,34,1.03,0.18,20,NWHS0008-25,8639,NWA-HS-1032,8/23/2000 13:15,PRIMARY,WATER,24.91,,3.5,,0.4,,100,,25.9,,26,,4.97,,5.61,,5,,5,,0.034,,0.29,,0.004,U,0.17,,4,I,2,,0.66,,2.3,,0.17,I,4.6,,0.6,,0.1,U,300,Q,1,U,1,U,32,,0.4,,0.2,
1,NWA-HS-1035,,1,,1,,,SMALL STREAM,HIGH-ORDER STREAM,ZONE 1,NWFWMD-A,Ochlockonee - St. Marks,302359.999,30,23,59.999,30.39999972,841754,84,17,54,-84.29833333,3120001,ST MARKS RIVER,Y,,,8/29/2000,,,NAD27,,Big Bend,Panhandle East,34,1.03,0.18,20,NWHS0008-26,8640,NWA-HS-1035,8/29/2000 11:00,PRIMARY,WATER,28.2,,5.3,,0.8,,60,A,128.5,,140,,1.01,,6.63,,56,,6,,0.047,A,0.88,,0.005,I,0.24,,9.5,,16.1,,4.6,,1.8,,1.7,,3.4,,2.7,,0.25,,270,,14,,0,,55,,1.5,,0.5,
1,NWA-HS-1038,,1,,1,,,SMALL STREAM,HIGH-ORDER STREAM,ZONE 1,NWFWMD-A,Ochlockonee - St. Marks,301847,30,18,47,30.31305556,844059,84,40,59,-84.68305556,3120003,OCHLOCKONEE RIVER,Y,,,9/11/2000,,,NAD27,,Panhandle,Panhandle East,67,1.03,0.18,20,NWHS0008-27,8641,NWA-HS-1038,9/11/2000 11:00,PRIMARY,WATER,23.49,,0.65,A,0.4,,600,,76.3,,74,,6.11,,3.84,,1,U,4,U,0.01,U,0.91,,0.004,U,0.021,,40,,3.4,,0.49,,2.7,,0.11,I,3.8,,7.8,,0.1,U,40,Q,1,U,1,U,62,J,0.4,,0.2,
1,NWA-HS-1039,,1,,1,,,SMALL STREAM,HIGH-ORDER STREAM,ZONE 1,NWFWMD-A,Ochlockonee - St. Marks,303112,30,31,12,30.52,844618,84,46,18,-84.77166667,3120003,OCHLOCKONEE RIVER,Y,,,9/7/2000,,,NAD27,,Panhandle,Panhandle East,67,1.03,0.18,20,NWHS0008-28,8642,NWA-HS-1039,9/7/2000 13:00,PRIMARY,WATER,22.71,,5.5,,0.4,,80,,69.5,,77,,4.94,,5.65,,4,,4,U,0.033,,1,,0.79,J,0.1,,18,,4,,2.3,,4.5,,2.5,,8.4,,7.6,,0.1,U,1400,Q,1,U,1,U,89,,0.4,,0.2,
1,NWA-HS-1040,,1,,1,,,LARGE RIVER,HIGH-ORDER STREAM,ZONE 1,NWFWMD-A,Ochlockonee - St. Marks,303056,30,30,56,30.51555556,842343,84,23,43,-84.39527778,3120003,OCHLOCKONEE RIVER,Y,,,9/14/2000,,,NAD27,,Panhandle,Panhandle East,67,1.03,0.18,20,NWHS0008-29,8643,NWA-HS-1040,9/14/2000 14:15,PRIMARY,WATER,25.52,,9.4,,0.6,,120,,84.8,,96,,5.3,,6.42,,12,,14,I,0.073,J,0.83,,0.3,J,0.16,,16,,5.6,,2.6,,4.9,,3.4,,8.3,,12,,0.1,U,260,Q,1,U,1,U,103,,1.8,,0.9,
1,NWA-HS-1041,,1,,1,,,SMALL STREAM,HIGH-ORDER STREAM,ZONE 1,NWFWMD-A,Ochlockonee - St. Marks,302938,30,29,38,30.49388889,844307,84,43,7,-84.71861111,3120003,OCHLOCKONEE RIVER,Y,,,9/5/2000,,,NAD27,,Panhandle,Panhandle East,67,1.03,0.18,20,NWHS0008-31,8644,NWA-HS-1041,9/5/2000 14:40,PRIMARY,WATER,24.36,,1.5,,0.4,,300,,62.4,,67,,1.83,,4.85,,5,,4,U,0.035,,0.78,A,0.004,U,0.025,A,37,J,8.2,,1.2,,2.4,,0.28,,5.1,,8.6,,0.1,U,215,AQ,1,U,1,U,96,,0.4,,0.2,
1,NWA-HS-1044,,1,,1,,,SMALL STREAM,HIGH-ORDER STREAM,ZONE 1,NWFWMD-A,Ochlockonee - St. Marks,302351,30,23,51,30.3975,842752,84,27,52,-84.46444444,3120001,ST MARKS RIVER,Y,,,9/21/2000,,,NAD27,,Big Bend,Panhandle East,34,1.03,0.18,20,NWHS0008-33,8645,NWA-HS-1044,9/21/2000 11:15,PRIMARY,WATER,23.07,,0.45,A,0.35,,60,A,58.5,,58,,4.61,,3.81,,1,U,4,U,0.018,I,0.69,,0.004,U,0.008,U,30,,0.27,I,0.26,,2.6,,0.05,U,4.6,,0.87,,0.1,U,36,,1,U,1,U,15,U,0.35,,0.18,
1,NWA-HS-1045,,1,,1,,,SMALL STREAM,HIGH-ORDER STREAM,ZONE 1,NWFWMD-A,Ochlockonee - St. Marks,301523,30,15,23,30.25638889,843524,84,35,24,-84.59,3120003,OCHLOCKONEE RIVER,Y,,,9/11/2000,,,NAD27,,Panhandle,Panhandle East,67,1.03,0.18,20,NWHS0008-34,8646,NWA-HS-1045,9/11/2000 13:00,PRIMARY,WATER,23.96,,0.55,,0.55,,500,A,91.9,,97,,3.7,,3.68,,1,U,4,U,0.011,I,1.2,,0.004,U,0.01,,68,,1.1,,0.33,,2,,0.089,I,3.5,,0.6,,0.1,U,8,Q,1,U,1,U,15,U,2.5,,1.25,
1,NWA-HS-1049,,1,,1,,,SMALL STREAM,HIGH-ORDER STREAM,ZONE 1,NWFWMD-A,Ochlockonee - St. Marks,302648,30,26,48,30.44666667,841236,84,12,36,-84.21,3120001,ST MARKS RIVER,Y,,,9/25/2000,,,NAD27,,Big Bend,Panhandle East,34,1.03,0.18,20,NWHS0008-35,8647,NWA-HS-1049,9/25/2000 13:45,PRIMARY,WATER,27.5,,7.3,A,0.2,,60,A,109,,110,,3.7,,6.52,,33,,4,U,0.015,I,0.33,AJ,0.2,,0.14,,4.4,I,12.1,,3.4,,1.4,,2,,1.8,,8.6,,0.1,U,330,Q,1,U,1,U,44,I,0.2,,0.1,
1,NWA-HS-1050,,1,,1,,,SMALL STREAM,HIGH-ORDER STREAM,ZONE 1,NWFWMD-A,Ochlockonee - St. Marks,302217,30,22,17,30.37138889,844018,84,40,18,-84.67166667,3120003,OCHLOCKONEE RIVER,Y,,,9/27/2000,,,NAD27,,Panhandle,Panhandle East,67,1.03,0.18,20,NWHS0008-36,8648,NWA-HS-1050,9/27/2000 8:00,PRIMARY,WATER,20.86,,1.7,,0.4,,600,A,64,,78,,0.33,,5.6,,13,,5,I,0.062,,1.5,,0.004,U,0.11,,53,,12.2,,1.2,,3.3,,0.53,,4.5,,5.7,,0.1,U,92,Q,1,U,1,U,116,J,1.2,,0.6,
1,NWA-HS-1051,,1,,1,,,LARGE RIVER,HIGH-ORDER STREAM,ZONE 1,NWFWMD-A,Ochlockonee - St. Marks,300736.84,30,7,36.84,30.1269,844012.72,84,40,12.72,-84.6702,3120003,OCHLOCKONEE RIVER,Y,,,9/25/2000,,,NAD27,,Panhandle,Panhandle East,67,1.03,0.18,20,NWHS0008-37,8649,NWA-HS-1051,9/25/2000 12:45,PRIMARY,WATER,24.73,,1.3,,0.7,,30,,43,,49,,4.32,,5.26,,2,,4,U,0.032,,0.92,J,0.011,,0.031,A,29,,4.6,,1.4,,3.9,,1.1,,4.6,,2.9,,0.1,U,142,Q,1,U,1,U,64,,4,,0.5,
1,NWA-HS-1052,,1,,1,,,SMALL STREAM,HIGH-ORDER STREAM,ZONE 1,NWFWMD-A,Ochlockonee - St. Marks,301839.24,30,18,39.24,30.3109,844226.64,84,42,26.64,-84.7074,3120003,OCHLOCKONEE RIVER,Y,,,9/27/2000,,,NAD27,,Panhandle,Panhandle East,67,1.03,0.18,20,NWHS0008-39,8650,NWA-HS-1052,9/27/2000 10:00,PRIMARY,WATER,24.69,,2.8,A,1,,100,,83,,100,,4.51,,6.72,,22,,6,I,0.2,A,0.82,,0.047,J,0.046,,13,A,6.9,,2.8,,7.2,,2.1,,10,,3.5,,0.1,U,82,Q,16,A,0,,22,I,2.9,,0.5,
1,NWA-LS-1005,,1,,1,,,SMALL STREAM,LOW-ORDER STREAM,ZONE 1,NWFWMD-A,Ochlockonee - St. Marks,303453,30,34,53,30.58138889,840127,84,1,27,-84.02416667,3120001,ST MARKS RIVER,Y,,,5/8/2000,,,NAD27,,Big Bend,Panhandle East,34,1.03,0.18,20,NWLS0005-1,7663,NWA-LS-1005,5/8/2000 11:30,PRIMARY,WATER,19.7,,4,,0.15,,100,,24,,26,,6.2,,6.26,,3,,4,,0.018,I,0.3,,0.012,J,0.24,A,3.9,I,1.3,,0.55,,2.1,,0.19,I,4.2,,0.67,,0.12,,900,Q,1,U,1,U,38,,0.15,,0.075,
1,NWA-LS-1009,,1,,1,,,SMALL STREAM,LOW-ORDER STREAM,ZONE 1,NWFWMD-A,Ochlockonee - St. Marks,304106,30,41,6,30.685,842114,84,21,14,-84.35388889,3120003,OCHLOCKONEE RIVER,Y,,,5/10/2000,,,NAD27,,Panhandle,Panhandle East,67,1.03,0.18,20,NWLS0005-2,7664,NWA-LS-1009,5/10/2000 9:10,PRIMARY,WATER,19.9,,8,,0.16,,80,,38,,40,,6.8,,6.83,,5,,6,,0.018,I,0.2,,0.47,,0.058,A,2.1,I,2.5,,1.1,,2.8,,0.3,,5.9,,0.31,I,0.1,U,810,Q,1,U,1,U,29,,0.16,,0.08,
1,NWA-LS-1013,,1,,1,,,SMALL STREAM,LOW-ORDER STREAM,ZONE 1,NWFWMD-A,Ochlockonee - St. Marks,303742,30,37,42,30.62833333,844015,84,40,15,-84.67083333,3120003,OCHLOCKONEE RIVER,Y,,,5/11/2000,,,NAD27,,Panhandle,Panhandle East,67,1.03,0.18,20,NWLS0005-4,7668,NWA-LS-1013,5/11/2000 10:30,PRIMARY,WATER,24.3,,22,,0.11,,500,,139,,140,,0.8,,5.75,,25,,65,,0.056,,4.2,,0.004,I,0.83,,34,,7.1,,3.2,,14,,3.2,,21,,5.4,,0.1,U,16,Q,73,,0,,89,,0.4,,0.2,
1,NWA-LS-1018,,1,,1,,,SMALL STREAM,LOW-ORDER STREAM,ZONE 1,NWFWMD-A,Ochlockonee - St. Marks,303458,30,34,58,30.58277778,843942,84,39,42,-84.66166667,3120003,OCHLOCKONEE RIVER,Y,,,5/11/2000,,,NAD27,,Panhandle,Panhandle East,67,1.03,0.18,20,NWLS0005-5,7669,NWA-LS-1018,5/11/2000 13:30,PRIMARY,WATER,22.7,,8.8,A,0.15,,150,,47,,55,,7,,6.9,,15,,6,,0.047,A,0.3,,0.59,,0.082,,2.3,I,3.2,A,1.7,A,3.8,A,0.35,A,5.3,,0.2,U,0.1,U,40,Q,1,U,1,U,36,,0.15,,0.08,
