"","PK_RANDOM_SAMPLE_LOCATION","FK_EPA_RANDOM_ID","NEST1_WT","EPA_OVERSAMPLE","EPA_DIVISION","RESOURCE_TYPE","REPORTING_UNIT","RANDOM_LATITUDE","RANDOM_LONGITUDE","HYDROLOGIC_UNIT_CODE","HYDROLOGIC_UNIT_NAME","CAN_BE_SAMPLED","EXCLUSION_CATEGORY","EXCLUSION_CRITERIA","SAMPLED_DATE","HECTARES","ANALYSIS_SUITE","LOCATIONAL_DATUM","FK_PROJECT","NUTRIENT_WATERSHED_REGION","SCI_DO_BIOREGION_2012","TN_NNC","TP_NNC","DO_Conc"
"20","Z3-CN-14020","FLCC20001-020",37.5139952332,1,NA,"CANAL","ZONE 3",274255.37977,802942.74801,3080203,"VERO BEACH","N","OTHERWISE UNSAMPLEABLE","UNSAFE SAMPLING CONDITIONS",NA,NA,NA,"HPGN","Z3CN2001","PENINSULAR","PENINSULA",1.54,0.12,38
"21","Z3-CN-14021","FLCC20001-021",37.5139952332,1,NA,"CANAL","ZONE 3",284025.87615,814043.7121,3080102,"OKLAWAHA","Y",NA,NA,2020-01-21 10:19:00,NA,NA,"HPGN","Z3CN2001","PENINSULAR","PENINSULA",1.54,0.12,38
"22","Z3-CN-14022","FLCC20001-022",37.5139952332,1,NA,"CANAL","ZONE 3",284352.69931,814108.78214,3080102,"OKLAWAHA","Y",NA,NA,2020-01-21 11:07:00,NA,NA,"HPGN","Z3CN2001","PENINSULAR","PENINSULA",1.54,0.12,38
"23","Z4-CN-14001","FLCC20001-151",28.3500199947,0,NA,"CANAL","ZONE 4",284116.18316,815909.20326,3100208,"WITHLACOOCHEE","N","NO PERMISSION FROM OWNER","UNABLE TO OBTAIN PERMISSION FROM OWNER",NA,NA,NA,"HPGN","Z4CN2001","PENINSULAR","PENINSULA",1.54,0.12,38
"24","Z4-CN-14002","FLCC20001-152",28.3500199947,0,NA,"CANAL","ZONE 4",270952.60552,820834.98549,3100102,"MYAKKA","N","WRONG RESOURCE/NOT PART OF TARGET POPULATION","GIS COVERAGE INCORRECT, WATERBODY NOT PRESENT AT RANDOM LOCATION",NA,NA,NA,"HPGN","Z4CN2001","WEST CENTRAL","PENINSULA",1.65,0.49,38
"25","Z4-CN-14003","FLCC20001-153",28.3500199947,0,NA,"CANAL","ZONE 4",275207.40317,824604.30728,3100207,"CRYSTAL-PITHLACHASCOTEE","Y",NA,NA,2020-01-14 00:00:00,NA,"Y","HPGN","Z4CN2001","PENINSULAR","PENINSULA",1.54,0.12,38
"26","Z4-CN-14004","FLCC20001-154",28.3500199947,0,NA,"CANAL","ZONE 4",275508.31591,814133.9849,3100101,"PEACE","N","NO PERMISSION FROM OWNER","ACCESS DENIED BY PROPERTY OWNER",NA,NA,NA,"HPGN","Z4CN2001","WEST CENTRAL","PENINSULA",1.65,0.49,38
"27","Z4-CN-14005","FLCC20001-155",28.3500199947,0,NA,"CANAL","ZONE 4",284150.87642,820521.19428,3100208,"WITHLACOOCHEE","N","NO PERMISSION FROM OWNER","UNABLE TO OBTAIN PERMISSION FROM OWNER",NA,NA,NA,"HPGN","Z4CN2001","PENINSULAR","PENINSULA",1.54,0.12,38
"28","Z4-CN-14006","FLCC20001-156",28.3500199947,0,NA,"CANAL","ZONE 4",270217.52159,820509.63993,3100102,"MYAKKA","Y",NA,NA,2020-01-16 00:00:00,NA,"Y","HPGN","Z4CN2001","WEST CENTRAL","PENINSULA",1.65,0.49,38
"29","Z4-CN-14007","FLCC20001-157",28.3500199947,0,NA,"CANAL","ZONE 4",273519.26413,822933.4166,3100206,"TAMPA BAY","Y",NA,NA,2020-01-23 00:00:00,NA,"Y","HPGN","Z4CN2001","WEST CENTRAL","PENINSULA",1.65,0.49,38
"30","Z4-CN-14008","FLCC20001-158",28.3500199947,0,NA,"CANAL","ZONE 4",275218.15325,813917.64574,3100101,"PEACE","Y",NA,NA,2020-01-21 00:00:00,NA,"Y","HPGN","Z4CN2001","WEST CENTRAL","PENINSULA",1.65,0.49,38
"31","Z4-CN-14009","FLCC20001-159",28.3500199947,0,NA,"CANAL","ZONE 4",284416.8321,821416.08566,3100208,"WITHLACOOCHEE","N","OTHERWISE UNSAMPLEABLE","FLOOD CONDITIONS (FLOW OUT OF BANKS) AT STREAM/RIVER/CANAL RANDOM LOCATION",NA,NA,NA,"HPGN","Z4CN2001","PENINSULAR","PENINSULA",1.54,0.12,38
"32","Z4-CN-14010","FLCC20001-160",28.3500199947,0,NA,"CANAL","ZONE 4",271913.96631,822352.58659,3100201,"SARASOTA BAY","N","UNABLE TO ACCESS","UNABLE TO GET EQUIPMENT TO RANDOM LOCATION",NA,NA,NA,"HPGN","Z4CN2001","WEST CENTRAL","PENINSULA",1.65,0.49,38
"33","Z4-CN-14011","FLCC20001-161",28.3500199947,0,NA,"CANAL","ZONE 4",280206.87135,814129.7998,3100101,"PEACE","N","NO PERMISSION FROM OWNER","UNABLE TO OBTAIN PERMISSION FROM OWNER",NA,NA,NA,"HPGN","Z4CN2001","WEST CENTRAL","PENINSULA",1.65,0.49,38
"34","Z4-CN-14012","FLCC20001-162",28.3500199947,0,NA,"CANAL","ZONE 4",280129.81233,822031.25081,3100206,"TAMPA BAY","Y",NA,NA,2020-01-14 00:00:00,NA,"Y","HPGN","Z4CN2001","WEST CENTRAL","PENINSULA",1.65,0.49,38
"35","Z4-CN-14013","FLCC20001-163",28.3500199947,0,NA,"CANAL","ZONE 4",284403.63127,820026.71511,3100208,"WITHLACOOCHEE","N","NO PERMISSION FROM OWNER","UNABLE TO OBTAIN PERMISSION FROM OWNER",NA,NA,NA,"HPGN","Z4CN2001","PENINSULAR","PENINSULA",1.54,0.12,38
"36","Z4-CN-14014","FLCC20001-164",28.3500199947,0,NA,"CANAL","ZONE 4",271913.13095,822838.88094,3100201,"SARASOTA BAY","Y",NA,NA,2020-01-13 00:00:00,NA,"Y","HPGN","Z4CN2001","WEST CENTRAL","PENINSULA",1.65,0.49,38
"37","Z4-CN-14015","FLCC20001-165",28.3500199947,0,NA,"CANAL","ZONE 4",275940.29359,821536.06031,3100205,"HILLSBOROUGH","N","NO PERMISSION FROM OWNER","UNABLE TO OBTAIN PERMISSION FROM OWNER",NA,NA,NA,"HPGN","Z4CN2001","WEST CENTRAL","PENINSULA",1.65,0.49,38
"38","Z4-CN-14016","FLCC20001-166",28.3500199947,1,NA,"CANAL","ZONE 4",282441.81251,822805.70688,3100207,"CRYSTAL-PITHLACHASCOTEE","N","DRY","DRY DURING INDEX PERIOD, INCLUDES SMALL LAKE WATER < 4 HECTARES LARGE LAKE WATER < 10 HECTARES",NA,NA,NA,"HPGN","Z4CN2001","PENINSULAR","PENINSULA",1.54,0.12,38
"39","Z4-CN-14017","FLCC20001-167",28.3500199947,1,NA,"CANAL","ZONE 4",283818.19995,815815.67011,3100208,"WITHLACOOCHEE","N","NO PERMISSION FROM OWNER","UNABLE TO OBTAIN PERMISSION FROM OWNER",NA,NA,NA,"HPGN","Z4CN2001","PENINSULAR","PENINSULA",1.54,0.12,38
"40","Z4-CN-14018","FLCC20001-168",28.3500199947,1,NA,"CANAL","ZONE 4",271111.4536,820423.22587,3100102,"MYAKKA","N","NO PERMISSION FROM OWNER","UNABLE TO OBTAIN PERMISSION FROM OWNER",NA,NA,NA,"HPGN","Z4CN2001","WEST CENTRAL","PENINSULA",1.65,0.49,38
"41","Z4-CN-14019","FLCC20001-169",28.3500199947,1,NA,"CANAL","ZONE 4",274349.40856,822151.49133,3100203,"LITTLE MANATEE","Y",NA,NA,2020-01-29 00:00:00,NA,"Y","HPGN","Z4CN2001","WEST CENTRAL","PENINSULA",1.65,0.49,38
"42","Z4-CN-14020","FLCC20001-170",28.3500199947,1,NA,"CANAL","ZONE 4",275544.10169,813924.98516,3100101,"PEACE","Y",NA,NA,2020-01-21 00:00:00,NA,"Y","HPGN","Z4CN2001","WEST CENTRAL","PENINSULA",1.65,0.49,38
"43","Z4-CN-14021","FLCC20001-171",28.3500199947,1,NA,"CANAL","ZONE 4",284156.76189,820330.77228,3100208,"WITHLACOOCHEE","N","NO PERMISSION FROM OWNER","UNABLE TO OBTAIN PERMISSION FROM OWNER",NA,NA,NA,"HPGN","Z4CN2001","PENINSULAR","PENINSULA",1.54,0.12,38
"44","Z4-CN-14022","FLCC20001-172",28.3500199947,1,NA,"CANAL","ZONE 4",270433.67773,820944.13845,3100102,"MYAKKA","Y",NA,NA,2020-01-16 00:00:00,NA,"Y","HPGN","Z4CN2001","WEST CENTRAL","PENINSULA",1.65,0.49,38
"45","Z4-CN-14023","FLCC20001-173",28.3500199947,1,NA,"CANAL","ZONE 4",272825.27578,823636.79822,3100201,"SARASOTA BAY","Y",NA,NA,2020-01-16 00:00:00,NA,"Y","HPGN","Z4CN2001","WEST CENTRAL","PENINSULA",1.65,0.49,38
"46","Z4-CN-14024","FLCC20001-174",28.3500199947,1,NA,"CANAL","ZONE 4",275517.43222,814358.72557,3100101,"PEACE","N","NO PERMISSION FROM OWNER","ACCESS DENIED BY PROPERTY OWNER",NA,NA,NA,"HPGN","Z4CN2001","WEST CENTRAL","PENINSULA",1.65,0.49,38
"47","Z4-CN-14025","FLCC20001-175",28.3500199947,1,NA,"CANAL","ZONE 4",284342.94092,820737.36675,3100208,"WITHLACOOCHEE","N","NO PERMISSION FROM OWNER","ACCESS DENIED BY PROPERTY OWNER",NA,NA,NA,"HPGN","Z4CN2001","PENINSULAR","PENINSULA",1.54,0.12,38
"48","Z4-CN-14026","FLCC20001-176",28.3500199947,1,NA,"CANAL","ZONE 4",271635.92728,822317.68395,3100201,"SARASOTA BAY","Y",NA,NA,2020-01-23 00:00:00,NA,"Y","HPGN","Z4CN2001","WEST CENTRAL","PENINSULA",1.65,0.49,38
"49","Z4-CN-14027","FLCC20001-177",28.3500199947,1,NA,"CANAL","ZONE 4",281010.41925,815051.17832,3100208,"WITHLACOOCHEE","Y",NA,NA,2020-01-29 00:00:00,NA,"Y","HPGN","Z4CN2001","PENINSULAR","PENINSULA",1.54,0.12,38
"50","Z4-CN-14028","FLCC20001-178",28.3500199947,1,NA,"CANAL","ZONE 4",280104.64068,822226.78731,3100206,"TAMPA BAY","Y",NA,NA,2020-01-29 00:00:00,NA,"Y","HPGN","Z4CN2001","WEST CENTRAL","PENINSULA",1.65,0.49,38
"51","Z4-CN-14029","FLCC20001-179",28.3500199947,1,NA,"CANAL","ZONE 4",285800.06986,822030.97938,3100208,"WITHLACOOCHEE","Y",NA,NA,2020-01-27 00:00:00,NA,"Y","HPGN","Z4CN2001","PENINSULAR","PENINSULA",1.54,0.12,38
"52","Z4-CN-14030","FLCC20001-180",28.3500199947,1,NA,"CANAL","ZONE 4",270329.44334,822440.73713,3100201,"SARASOTA BAY","Y",NA,NA,2020-01-30 00:00:00,NA,"Y","HPGN","Z4CN2001","WEST CENTRAL","PENINSULA",1.65,0.49,38
"53","Z5-CN-14001","FLCC20001-301",61.5528674293,0,NA,"CANAL","ZONE 5",264405.11239,815613.36357,3100103,"CHARLOTTE HARBOR","Y",NA,NA,2020-01-14 00:00:00,NA,"Y","HPGN","Z5CN2001","PENINSULAR","PENINSULA",1.54,0.12,38
"54","Z5-CN-14002","FLCC20001-302",61.5528674293,0,NA,"CANAL","ZONE 5",261730.53383,812031.8218,3090204,"BIG CYPRESS SWAMP","Y",NA,NA,2020-01-08 00:00:00,NA,"Y","HPGN","Z5CN2001","SOUTH","EVERGLADES",NA,NA,38
"55","Z5-CN-14003","FLCC20001-303",61.5528674293,0,NA,"CANAL","ZONE 5",261953.19901,804946.12401,3090202,"EVERGLADES","Y",NA,NA,2020-01-13 00:00:00,NA,"Y","HPGN","Z5CN2001","SOUTH","EVERGLADES",NA,NA,38
"56","Z5-CN-14004","FLCC20001-304",61.5528674293,0,NA,"CANAL","ZONE 5",271321.97132,812753.34625,3090103,"WESTERN OKEECHOBEE INFLOW","N","NO PERMISSION FROM OWNER","UNABLE TO OBTAIN PERMISSION FROM OWNER",NA,NA,NA,"HPGN","Z5CN2001","PENINSULAR","PENINSULA",1.54,0.12,38
"57","Z5-CN-14005","FLCC20001-305",61.5528674293,0,NA,"CANAL","ZONE 5",261623.7188,814302.0946,3090204,"BIG CYPRESS SWAMP","Y",NA,NA,2020-01-08 00:00:00,NA,"Y","HPGN","Z5CN2001","SOUTH","EVERGLADES",NA,NA,38
"58","Z5-CN-14006","FLCC20001-306",61.5528674293,0,NA,"CANAL","ZONE 5",263626.68403,810342.53552,3090202,"EVERGLADES","Y",NA,NA,2020-01-27 00:00:00,NA,"Y","HPGN","Z5CN2001","SOUTH","PENINSULA",NA,NA,38
"59","Z5-CN-14007","FLCC20001-307",61.5528674293,0,NA,"CANAL","ZONE 5",254727.00604,805122.51463,3090204,"BIG CYPRESS SWAMP","Y",NA,NA,2020-01-15 00:00:00,NA,"Y","HPGN","Z5CN2001","SOUTH","EVERGLADES",NA,NA,38
"60","Z5-CN-14008","FLCC20001-308",61.5528674293,0,NA,"CANAL","ZONE 5",265939.61212,810427.27004,3090103,"WESTERN OKEECHOBEE INFLOW","Y",NA,NA,2020-01-21 00:00:00,NA,"Y","HPGN","Z5CN2001","PENINSULAR","EVERGLADES",1.54,0.12,38
"61","Z5-CN-14009","FLCC20001-309",61.5528674293,0,NA,"CANAL","ZONE 5",261252.42695,813909.01076,3090204,"BIG CYPRESS SWAMP","Y",NA,NA,2020-01-08 00:00:00,NA,"Y","HPGN","Z5CN2001","SOUTH","EVERGLADES",NA,NA,38
"62","Z5-CN-14010","FLCC20001-310",61.5528674293,0,NA,"CANAL","ZONE 5",264805.4846,805830.92648,3090202,"EVERGLADES","Y",NA,NA,2020-01-27 00:00:00,NA,"Y","HPGN","Z5CN2001","PENINSULAR","EVERGLADES",1.54,0.12,38
"63","Z5-CN-14011","FLCC20001-311",61.5528674293,0,NA,"CANAL","ZONE 5",281103.33517,811343.93793,3090101,"KISSIMMEE","Y",NA,NA,2020-01-28 00:00:00,NA,"Y","HPGN","Z5CN2001","PENINSULAR","PENINSULA",1.54,0.12,38
"64","Z5-CN-14012","FLCC20001-312",61.5528674293,0,NA,"CANAL","ZONE 5",270529.61617,810019.29615,3090103,"WESTERN OKEECHOBEE INFLOW","N","OTHERWISE UNSAMPLEABLE","UNSAFE SAMPLING CONDITIONS",NA,NA,NA,"HPGN","Z5CN2001","PENINSULAR","PENINSULA",1.54,0.12,38
"65","Z5-CN-14013","FLCC20001-313",61.5528674293,0,NA,"CANAL","ZONE 5",263605.47292,813602.36647,3090205,"CALOOSAHATCHEE","Y",NA,NA,2020-01-14 00:00:00,NA,"Y","HPGN","Z5CN2001","PENINSULAR","PENINSULA",1.54,0.12,38
"66","Z5-CN-14014","FLCC20001-314",61.5528674293,0,NA,"CANAL","ZONE 5",261307.97876,805449.89126,3090202,"EVERGLADES","Y",NA,NA,2020-01-13 00:00:00,NA,"Y","HPGN","Z5CN2001","SOUTH","EVERGLADES",NA,NA,38
"67","Z5-CN-14015","FLCC20001-315",61.5528674293,0,NA,"CANAL","ZONE 5",271233.18373,810937.91582,3090103,"WESTERN OKEECHOBEE INFLOW","Y",NA,NA,2020-01-21 00:00:00,NA,"Y","HPGN","Z5CN2001","PENINSULAR","PENINSULA",1.54,0.12,38
"68","Z5-CN-14016","FLCC20001-316",61.5528674293,1,NA,"CANAL","ZONE 5",271504.10736,810757.10225,3090103,"WESTERN OKEECHOBEE INFLOW","Y",NA,NA,2020-01-16 00:00:00,NA,"Y","HPGN","Z5CN2001","PENINSULAR","PENINSULA",1.54,0.12,38
"69","Z5-CN-14017","FLCC20001-317",61.5528674293,1,NA,"CANAL","ZONE 5",261634.95224,813451.64417,3090204,"BIG CYPRESS SWAMP","Y",NA,NA,2020-01-28 00:00:00,NA,"Y","HPGN","Z5CN2001","SOUTH","PENINSULA",NA,NA,38
"70","Z6-CN-14001","FLCC20001-451",134.003940822,0,NA,"CANAL","ZONE 6",255945.89778,803119.74805,3090202,"EVERGLADES","Y",NA,NA,2020-02-03 00:00:00,NA,"Y","HPGN","Z6CN2001","SOUTH","EVERGLADES",NA,NA,38
"71","Z6-CN-14002","FLCC20001-452",134.003940822,0,NA,"CANAL","ZONE 6",254811.66675,801517.23489,3090202,"EVERGLADES","Y",NA,NA,2020-01-23 00:00:00,NA,"Y","HPGN","Z6CN2001","SOUTH","EVERGLADES",NA,NA,38
"72","Z6-CN-14003","FLCC20001-453",134.003940822,0,NA,"CANAL","ZONE 6",264841.53868,805807.08814,3090201,"LAKE OKEECHOBEE","Y",NA,NA,2020-01-15 00:00:00,NA,"Y","HPGN","Z6CN2001","PENINSULAR","EVERGLADES",1.54,0.12,38
"73","Z6-CN-14004","FLCC20001-454",134.003940822,0,NA,"CANAL","ZONE 6",261952.60329,801256.50953,3090202,"EVERGLADES","Y",NA,NA,2020-01-21 00:00:00,NA,"Y","HPGN","Z6CN2001","SOUTH","EVERGLADES",NA,NA,38
"74","Z6-CN-14005","FLCC20001-455",134.003940822,0,NA,"CANAL","ZONE 6",255030.257,803655.77295,3090202,"EVERGLADES","Y",NA,NA,2020-01-29 00:00:00,NA,"Y","HPGN","Z6CN2001","SOUTH","EVERGLADES",NA,NA,38
"75","Z6-CN-14006","FLCC20001-456",134.003940822,0,NA,"CANAL","ZONE 6",253505.49684,802720.50202,3090202,"EVERGLADES","Y",NA,NA,2020-02-05 00:00:00,NA,"Y","HPGN","Z6CN2001","SOUTH","EVERGLADES",NA,NA,38
"76","Z6-CN-14007","FLCC20001-457",134.003940822,0,NA,"CANAL","ZONE 6",263734.4011,803557.63078,3090202,"EVERGLADES","Y",NA,NA,2020-01-15 00:00:00,NA,"Y","HPGN","Z6CN2001","SOUTH","EVERGLADES",NA,NA,38
"77","Z6-CN-14008","FLCC20001-458",134.003940822,0,NA,"CANAL","ZONE 6",263608.86163,800949.67342,3090202,"EVERGLADES","Y",NA,NA,2020-01-21 00:00:00,NA,"Y","HPGN","Z6CN2001","SOUTH","EVERGLADES",NA,NA,38
"78","Z6-CN-14009","FLCC20001-459",134.003940822,0,NA,"CANAL","ZONE 6",260348.4032,802001.09634,3090202,"EVERGLADES","Y",NA,NA,2020-01-27 00:00:00,NA,"Y","HPGN","Z6CN2001","SOUTH","EVERGLADES",NA,NA,38
"79","Z6-CN-14010","FLCC20001-460",134.003940822,0,NA,"CANAL","ZONE 6",253101.41107,803328.46838,3090202,"EVERGLADES","Y",NA,NA,2020-02-05 00:00:00,NA,"Y","HPGN","Z6CN2001","SOUTH","EVERGLADES",NA,NA,38
"80","Z6-CN-14011","FLCC20001-461",134.003940822,0,NA,"CANAL","ZONE 6",265258.5799,801154.68951,3090202,"EVERGLADES","Y",NA,NA,2020-01-14 00:00:00,NA,"Y","HPGN","Z6CN2001","PENINSULAR","PENINSULA",1.54,0.12,38
"81","Z6-CN-14012","FLCC20001-462",134.003940822,0,NA,"CANAL","ZONE 6",271932.87681,805029.92453,3090101,"KISSIMMEE","Y",NA,NA,2020-01-16 00:00:00,NA,"Y","HPGN","Z6CN2001","PENINSULAR","PENINSULA",1.54,0.12,38
"82","Z6-CN-14013","FLCC20001-463",134.003940822,0,NA,"CANAL","ZONE 6",260831.79108,802531.91099,3090202,"EVERGLADES","Y",NA,NA,2020-01-27 00:00:00,NA,"Y","HPGN","Z6CN2001","SOUTH","EVERGLADES",NA,NA,38
"83","Z6-CN-14014","FLCC20001-464",134.003940822,0,NA,"CANAL","ZONE 6",262107.35647,804724.13679,3090202,"EVERGLADES","Y",NA,NA,2020-02-12 00:00:00,NA,"Y","HPGN","Z6CN2001","SOUTH","EVERGLADES",NA,NA,38
"84","Z6-CN-14015","FLCC20001-465",134.003940822,0,NA,"CANAL","ZONE 6",264545.42749,802253.54854,3090202,"EVERGLADES","Y",NA,NA,2020-01-14 00:00:00,NA,"Y","HPGN","Z6CN2001","SOUTH","PENINSULA",NA,NA,38
